,0,1,2,3,4
0,1897,1870,1608,1731,1706
1,1505,875,882,1738,1744
2,877,1263,1783,1305,300
3,30,420,1652,563,951
4,420,1652,1499,1544,801
5,513,94,382,867,734
6,710,4,902,1808,1339
7,399,465,529,1499,951
8,1698,1090,734,391,74
9,1380,1090,529,1339,1891
10,1749,1389,1499,1738,346
11,1289,1083,2,231,1605
12,1964,74,130,1016,1749
13,4,1339,1698,1804,61
14,734,1549,1284,1083,1722
15,399,1783,61,1380,1069
16,865,4,483,1071,1289
17,882,300,1706,507,1474
18,1838,1064,513,1136,1608
19,730,1698,61,399,1289
20,643,1389,1731,947,1959
21,1554,1887,710,1605,947
22,1959,1549,1263,1533,902
23,1505,1,507,1289,300
24,130,1305,1389,1410,1959
25,875,867,1687,730,483
26,427,1136,1389,483,30
27,1004,734,1069,1090,1263
28,1738,211,1744,1016,734
29,1499,1305,1652,1744,1685
30,1838,1706,1687,94,563
31,74,1339,300,1136,1505
32,951,1744,1410,231,483
33,4,1964,1706,865,1605
34,529,1083,513,22,1804
35,1079,1698,1305,1804,1499
36,902,1944,1016,1744,730
37,483,897,74,1681,130
38,1744,7,445,1698,1808
39,1608,1263,1681,1289,1706
40,1339,399,1,513,186
41,730,1410,1284,1608,1064
42,346,211,529,1964,186
43,1289,231,734,1083,1069
44,1870,1959,1783,734,1410
45,1698,1474,710,1016,427
46,1749,427,1744,1685,1
47,877,1897,94,1064,1079
48,1389,1544,1536,1897,951
49,734,300,74,1605,1339
